metric,ref_period,year,n_ref,n_year,mean_ref,mean_year,diff,t_value,p_raw,effect_size_d,p_fdr,significant
freq_brwac,2020–2022,2025,3680,2143,5.282336330226613,5.194033789080727,-0.08830254114588598,10.942517195356132,1.5164357376900976e-27,-0.29359169947631186,,False
function_words,2020–2022,2023,3680,1796,0.4071576848726708,0.40650494988864144,-0.0006527349840293462,0.6234925071084668,0.5329985412154798,-0.017741136159316235,,False
function_words,2020–2022,2024,3680,2447,0.4071576848726708,0.3977922126789366,-0.009365472193734181,9.61590497037136,1.0259942370376892e-21,-0.25008905534084014,,False
function_words,2020–2022,2025,3680,2143,0.4071576848726708,0.38482737284181057,-0.022330312030860222,21.87006029616159,6.81399986532457e-101,-0.5929021596361299,,False
honore,2020–2022,2023,3680,1796,1016.9097362795704,1008.9002684855235,-8.009467794046941,0.9445126013056765,0.3449651483834577,-0.02661145548635545,,False
honore,2020–2022,2024,3680,2447,1016.9097362795704,1010.9131967770962,-5.9965395024742065,0.6470259050102516,0.5176473014398228,-0.0171600172383331,,False
honore,2020–2022,2025,3680,2143,1016.9097362795704,1139.2362842603827,122.32654798081228,-12.947517799292278,1.3559299188804164e-37,0.3578300093659794,,False
hypernyms_verbs,2020–2022,2023,3680,1796,0.6929707644417755,0.7266235022271714,0.0336527377853959,-3.7032605525029156,0.00021597540358089673,0.10596780376461923,,False
hypernyms_verbs,2020–2022,2024,3680,2447,0.6929707644417755,0.737301509202454,0.04433074476067844,-4.946215591088806,7.821261350286896e-07,0.13029829902738113,,False
hypernyms_verbs,2020–2022,2025,3680,2143,0.6929707644417755,0.8173052309846011,0.12433446654282554,-13.912472513493535,4.3493712975248476e-43,0.379465123845632,,False
if_ratio,2020–2022,2023,3680,1796,0.00032850267071845603,0.00030732182628062356,-2.1180844437832468e-05,0.3948898882816552,0.692947451757207,-0.011333818600238629,,False
if_ratio,2020–2022,2024,3680,2447,0.00032850267071845603,0.00023584867075664623,-9.26539999618098e-05,2.065994898906964,0.038873470781268044,-0.05300430781530856,,False
if_ratio,2020–2022,2025,3680,2143,0.00032850267071845603,0.00017462435837610826,-0.00015387831234234777,3.7445478009454556,0.00018249103899376496,-0.09634330276510163,,False
log_neg_conn_ratio,2020–2022,2023,3680,1796,0.002509730834966557,0.0026121714922049,0.00010244065723834283,-0.7173116142897523,0.47322993704147276,0.020734478194796062,,False
log_neg_conn_ratio,2020–2022,2024,3680,2447,0.002509730834966557,0.0021051574642126786,-0.00040457337075387864,3.311327424930085,0.0009345487912971717,-0.08576444773707033,,False
log_neg_conn_ratio,2020–2022,2025,3680,2143,0.002509730834966557,0.0025424685020998604,3.273766713330316e-05,-0.244903171553004,0.8065427434959964,0.006666049232234819,,False
log_pos_conn_ratio,2020–2022,2023,3680,1796,0.03384873632564804,0.03450388084632516,0.0006551445206771228,-1.3041303470255063,0.1922704759707555,0.03728107268120792,,False
